_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,average_daily_bike_traffic,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
114,2146294802,194,1598450025,12/12/2019,12/24/2019,5015,,4,StatTrak,25,,32,94,36,39,-79.91097942,40.43563381,Squirrel Hill South,5,14,42003140800,3,14,4,21-Feb
115,227010728,90,1841997569,1/14/2019,1/22/2019,2305,,,StatTrak,25,,19,6,23,25,-79.99886586,40.43812771,Central Business District,6,1,42003020100,6,1,2,4-Jan
116,227082796,209,1717953508,11/14/2019,12/2/2019,995,,1,,25,,20,9,24,27,-79.91624686,40.47001795,Highland Park,7,11,42003110600,2,11,5,9-Mar
117,235210908,139,1849077535,6/6/2019,,,,,Intersection Study,,,,,,,-79.95373577,40.44320393,North Oakland,3,4,42003982200,3,4,4,7-Feb
118,249390037,166,,,,,,,,,,,,,,-79.946262,40.46212801,Bloomfield,7,8,42003080900,2,8,5,6-Mar
119,26685456,42,1014355185,,,,,,,,,,,,,-79.98255105,40.45456098,Strip District,7,2,42003020300,6,2,2,25-Feb
120,275496503,180,1511161277,8/30/2019,9/9/2019,317,,16,StatTrak,25,45,21,22,27,32,-79.92604991,40.46882391,East Liberty,9,11,42003111300,2,11,5,8-Mar
121,283927123,160,,,,,,,,,,,,,,-79.9599285,40.439268,Central Oakland,3,4,42003040500,3,4,4,14-Feb
122,286504681,119,378111062,7/9/2019,7/18/2019,,,4,StatTrak,25,,,,,,-79.916863,40.44124594,Squirrel Hill North,8,14,42003140300,3,14,4,18-Feb
123,300989656,147,1324522674,10/21/2019,10/29/2019,2436,,3,StatTrak,25,,30,85,34,37,-79.97742,40.40932501,St. Clair,3,16,42003561700,3,16,3,8-Apr
124,301291530,181,98475052,9/9/2019,9/17/2019,6943,,11,StatTrak,35,,33,26,37,40,-80.01776679,40.47042636,Perry South,6,26,42003261500,1,26,1,12-Jan
125,314332417,67,1277351795,2/5/2019,2/14/2019,1363,,,StatTrak,25,,17,9,23,28,-79.97778916,40.4365681,Bluff,6,1,42003010300,3,1,2,1-Feb
126,325834347,40,1847569204,8/10/2018,8/17/2018,338,,,StatTrak,25,45,23,,28,30,-80.03719351,40.43872645,Elliott,2,20,42003562600,5,20,6,17-Jan
127,335439540,135,2108033802,7/18/2019,7/26/2019,4354,,3,StatTrak,25,,25,41,29,33,-79.9235397,40.45919972,Shadyside,8,7,42003070800,2,7,4,11-Mar
128,340863639,94,690167521,12/15/2020,12/23/2020,1468,,5,StatTrak,25,56,,24,28,31,-79.98843731,40.39126208,Carrick,4,29,42003290400,3,29,3,23-Apr
129,345918218,195,,,,,,,,,,,,,,-79.97741025,40.40932007,St. Clair,3,16,42003561700,3,16,3,8-Apr
130,348266598,183,793526528,9/9/2019,9/17/2019,3302,,13,StatTrak,25,,35,97,40,43,-80.01384775,40.48801855,Perry North,1,26,42003260200,1,26,1,15-Jan
131,358321678,21,236359592,9/21/2018,10/17/2018,,,,,,,,,,,-80.00995024,40.44562784,North Shore,1,22,42003981200,6,22,1,7-Jan
132,364823086,6,109955947,10/17/2018,11/8/2018,,102,,Tube,,,,,,,-79.9519779,40.44357372,North Oakland,8,4,42003982200,3,4,4,8-Feb
133,370215367,178,305312914,8/30/2019,9/9/2019,483,,13,StatTrak,25,,26,51,33,37,-79.92909548,40.47153004,East Liberty,7,11,42003111300,2,11,5,8-Mar
134,37342806,141,,,,,,,,,,,,,,-79.977251,40.45822535,Strip District,7,6,42003020300,6,6,2,25-Feb
135,382839437,59,334434337,5/1/2019,5/7/2019,3827,,,StatTrak,25,,28,69,33,37,-79.91227235,40.46057165,Larimer,9,12,42003120800,2,12,5,12-Mar
136,41516750,161,,,,,,,,,,,,,,-79.945821,40.447503,Shadyside,8,7,42003070900,2,7,4,9-Feb
137,424435594,123,944115427,5/20/2019,,,,,Intersection Study,,,,,,,-79.97623766,40.45752252,Strip District,7,6,42003020300,6,6,2,2-Mar
